,id,title,artist,album,release date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,owner
80,2BHj31ufdEqVK5CkYDp9mA,Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection,2008,312293,53,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49E-06,0.0789,0.792,108.259,4,my boyfriend
81,0vCTQcxSGAgjHaiAsIANKn,Vanilla Twilight,Owl City,Ocean Eyes (Deluxe Version),2009-01-01,231707,62,0.582,0.529,11,-7.637,1,0.0248,0.00961,0.000554,0.113,0.567,166.134,4,my boyfriend
82,18UUNle3BNojYpIfbLueJh,Waving Through a Window - From Dear Evan Hansen,Owl City,Waving Through A Window (From Dear Evan Hansen),2017-06-23,247817,53,0.555,0.709,9,-4.873,1,0.0292,0.352,0,0.15,0.571,145.285,4,my boyfriend
83,5zsHmE2gO3RefVsPyw2e3T,What's Up Danger (with Black Caviar),Blackway,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,222307,71,0.701,0.755,2,-5.82,1,0.0417,0.00363,0.000795,0.121,0.116,95.036,4,my boyfriend
84,6VS7wKwtvL2FvTupYSWZ9e,Invincible,Aminé,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,196387,64,0.724,0.6,10,-4.391,0,0.29,0.141,0.000218,0.104,0.466,86.984,4,my boyfriend
85,4YdiQlTTspwuGetwcv3mAw,Intro,Nadin Amizah,Selamat Ulang Tahun,2020-05-28,99877,51,0.541,0.211,7,-17.445,1,0.0452,0.98,0.149,0.174,0.2,85.045,4,my boyfriend
86,6V81K1OcvYgHEnCA6A2Qx9,Start a Riot,Duckwrth,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,171467,67,0.728,0.727,2,-3.585,1,0.206,0.0128,0,0.0882,0.89,143.144,4,my boyfriend
87,07azZjYghoJ3W9FHcWmKTT,Fiji Water,Owl City,Cinematic,2018-06-01,260400,43,0.714,0.572,10,-5.297,1,0.0354,0.206,0.00162,0.133,0.826,122.998,4,my boyfriend
88,6Dh1zHQjEaOp29VW9pp3xG,Taruh,Nadin Amizah,Selamat Ulang Tahun,2020-05-28,249892,58,0.349,0.244,11,-13.163,1,0.0462,0.979,0.000909,0.0924,0.547,89.98,4,my boyfriend
89,6rz0dTA0PdhXImFV5EjM0w,Hide (feat. Seezyn),Juice WRLD,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,205800,76,0.715,0.639,5,-5.017,0,0.0752,0.0622,0,0.157,0.151,149.996,4,my boyfriend
